Date,Count,Delta
2020/05/14,194777,672
2020/05/15,195299,522
2020/05/16,195670,371
2020/05/17,196084,414
2020/05/18,196570,486
2020/05/19,197063,493
2020/05/20,197628,565
2020/05/21,198119,491
2020/05/22,198518,399
2020/05/23,198908,390
2020/05/24,199240,332
2020/05/25,199703,463
2020/05/26,200349,646
2020/05/27,200899,550
2020/05/28,201371,472
2020/05/29,201807,436
2020/05/30,201954,147
2020/05/31,202138,184
2020/06/01,202422,284
2020/06/02,202646,224
2020/06/03,202983,337
2020/06/04,203372,389
2020/06/05,203717,345
2020/06/06,204026,309
2020/06/07,204390,364
2020/06/08,204890,500
2020/06/09,205163,273
2020/06/10,205660,497
2020/06/11,206016,356
2020/06/12,206397,381
2020/06/13,206674,277
2020/06/14,206898,224
2020/06/15,207201,303
2020/06/16,207617,416
2020/06/17,207936,319
2020/06/18,208115,179
2020/06/19,208285,170
2020/06/20,208372,87
2020/06/21,208487,115
2020/06/22,208702,215
2020/06/23,208966,264
2020/06/24,209124,158
2020/06/25,209209,85
2020/06/26,209366,157
2020/06/27,209666,300
2020/06/28,209779,113
2020/06/29,209961,182
2020/06/30,210172,211
2020/07/01,210373,201
2020/07/02,210644,271
2020/07/03,210853,209
2020/07/04,210965,112
2020/07/05,211047,82
2020/07/06,211253,206
2020/07/07,211621,368
2020/07/08,211930,309
2020/07/09,212211,281
2020/07/10,212532,321
2020/07/11,212741,209
2020/07/12,212945,204
2020/07/13,213085,140
2020/07/14,213250,165
2020/07/15,213435,185
2020/07/16,213627,192
2020/07/17,213801,174
2020/07/18,213966,165
2020/07/19,214043,77
2020/07/20,214225,182
2020/07/21,214436,211
2020/07/22,214558,122
2020/07/23,214690,132
2020/07/24,214852,162
2020/07/25,215114,262
2020/07/26,215279,165
2020/07/27,215400,121
2020/07/28,215703,303
2020/07/29,215976,273
2020/07/30,216322,346
2020/07/31,216708,386
2020/08/01,216856,148
2020/08/02,217000,144
2020/08/03,217117,117
2020/08/04,217244,127
2020/08/05,217391,147
2020/08/06,217684,293
2020/08/07,218028,344
2020/08/08,218210,182
2020/08/09,218338,128
2020/08/10,218499,161
2020/08/11,218836,337
2020/08/12,219339,503
2020/08/13,219790,451
2020/08/14,220096,306
2020/08/15,220440,344
2020/08/16,220634,194
2020/08/17,220919,285
2020/08/18,221246,327
2020/08/19,221537,291
2020/08/20,221898,361
2020/08/21,222258,360
2020/08/22,222710,452
2020/08/23,223301,591
2020/08/24,223821,520
2020/08/25,224192,371
2020/08/26,224427,235
2020/08/27,224734,307
2020/08/28,225231,497
2020/08/29,225519,288
2020/08/30,225687,168
2020/08/31,225900,213
2020/09/01,226158,258
2020/09/02,226625,467
2020/09/03,226943,318
2020/09/04,227256,313
2020/09/05,227456,200
2020/09/06,227641,185
2020/09/07,227913,272
2020/09/08,228274,361
2020/09/09,228578,304
2020/09/10,228866,288
2020/09/11,229305,439
2020/09/12,229653,348
2020/09/13,229892,239
2020/09/14,230287,395
2020/09/15,230955,668
2020/09/16,231299,344
2020/09/17,232181,882
2020/09/18,232730,549
2020/09/19,233316,586
2020/09/20,233619,303
2020/09/21,234335,716
2020/09/22,234786,451
